State/UT,No. of PCS as on 31st March 2024
Andaman and Nicobar Islands,3
Andhra Pradesh,327
Arunachal Pradesh,9
Assam,86
Bihar,124
Chandigarh,12
Chhattisgarh,149
Delhi,1886
Goa,113
Gujarat,476
Haryana,377
Himachal Pradesh,44
Jammu and Kashmir,47
Jharkhand,135
Karnataka,5130
Kerala,958
Lakshadweep,1
Madhya Pradesh,341
Maharashtra,3083
Manipur,17
Meghalaya,21
Nagaland,6
Odisha,198
Pondicherry,23
Punjab,158
Rajasthan,500
Sikkim,2
Tamil Nadu,643
Telangana,483
Tripura,18
Dadra and Nagar Haveli and Daman and Diu,1
Uttar Pradesh,583
Uttarakhand,76
West Bengal,318