State/UT,Number of Charges on Highway
Andhra Pradesh,319
Arunachal Pradesh,5
Assam,59
Bihar,139
Chandigarh,5
Chhattisgarh,70
Delhi,25
Goa,24
Gujarat,420
Haryana,261
Himachal Pradesh,53
Jammu and Kashmir,72
Jharkhand,105
Karnataka,471
Kerala,189
Madhya Pradesh,231
Maharashtra,659
Manipur,1
Meghalaya,27
Mizoram,7
Nagaland,6
Odisha,190
Pondicherry,16
Punjab,272
Rajasthan,439
Sikkim,1
Tamil Nadu,649
Telangana,244
Tripura,1
Uttar Pradesh,525
Uttarakhand,27
West Bengal,321